Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-03-30,Top 10 Films,,https://boxd.it/57ntU,

Position,Name,Year,URL,Description
1,Interstellar,2014,https://boxd.it/4VZ8,
2,It's a Wonderful Life,1946,https://boxd.it/28xA,
3,The Dark Knight,2008,https://boxd.it/2b0k,
4,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
5,Top Gun: Maverick,2022,https://boxd.it/cjr4,
6,About Time,2013,https://boxd.it/43bI,
7,Oppenheimer,2023,https://boxd.it/wUow,
8,The Social Network,2010,https://boxd.it/17ue,
9,Saving Private Ryan,1998,https://boxd.it/29ro,
10,Dune,2021,https://boxd.it/fA7G,
11,Dune: Part Two,2024,https://boxd.it/pUfA,
